date,ph,waterTemp,nitrogen,airTemp,dissolvedOxygen
Jan 2012,7,75,157,88,55
Feb 2012,7,65,172,74,50
Mar 2012,7,81,166,87,52
Apr 2012,8,80,174,81,38
May 2012,8,86,134,98,40
Jun 2012,7,65,179,89,37
Jul 2012,7,76,135,93,35
Aug 2012,8,82,162,93,46
Sep 2012,6,68,139,49,52
Oct 2012,7,74,146,91,54
Nov 2012,7,65,161,62,55
Dec 2012,7,85,129,65,58
Jan 2013,6,79,170,85,37
Feb 2013,7,89,134,70,41
Mar 2013,7,80,168,78,33
Apr 2013,8,83,160,68,57
May 2013,6,65,149,65,35
Jun 2013,8,74,150,56,48
Jul 2013,8,68,165,78,61
Aug 2013,8,87,157,87,35
Sep 2013,8,83,148,98,37
Oct 2013,7,70,147,90,49
Nov 2013,8,88,129,68,35
Dec 2013,8,61,172,80,31
Jan 2014,7,74,181,76,32
Feb 2014,8,84,179,91,39
Mar 2014,8,76,136,63,49
Apr 2014,6,66,169,95,33
May 2014,7,83,157,66,33
Jun 2014,6,69,138,100,35
Jul 2014,7,84,180,62,57
Aug 2014,6,87,172,96,49
Sep 2014,6,87,158,71,61
Oct 2014,6,62,137,88,39
Nov 2014,7,72,151,53,34
Dec 2014,7,71,130,74,61
